"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 11:08:10 GMT 2024","Sun Sep 08 11:08:18 GMT 2024","8135","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
"passed","Sun Sep 08 11:07:27 GMT 2024","Sun Sep 08 11:07:36 GMT 2024","8492","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","@demo_fixture @smoke @regression","","","Test case: Demo fixture",""
"passed","Sun Sep 08 11:08:19 GMT 2024","Sun Sep 08 11:08:19 GMT 2024","87","teardown","03-demo-pom-fixture/dependencies-teardown.ts","","","","Clean up",""
"passed","Sun Sep 08 11:07:21 GMT 2024","Sun Sep 08 11:07:27 GMT 2024","5760","setup","03-demo-pom-fixture/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Sun Sep 08 11:08:01 GMT 2024","Sun Sep 08 11:08:09 GMT 2024","8287","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
"passed","Sun Sep 08 11:07:53 GMT 2024","Sun Sep 08 11:08:01 GMT 2024","8323","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
"passed","Sun Sep 08 11:07:44 GMT 2024","Sun Sep 08 11:07:52 GMT 2024","7931","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Sun Sep 08 11:07:36 GMT 2024","Sun Sep 08 11:07:44 GMT 2024","8199","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","@demo_pom @smoke @regression","","","Test case: Demo POM",""
