"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 09:36:55 GMT 2024","Mon Sep 09 09:36:55 GMT 2024","7","teardown","02-demo-setup-teardown/test/dependencies-teardown.ts","","","","Clean up",""
"passed","Mon Sep 09 09:36:37 GMT 2024","Mon Sep 09 09:36:45 GMT 2024","8487","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
"passed","Mon Sep 09 09:36:19 GMT 2024","Mon Sep 09 09:36:27 GMT 2024","8484","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Mon Sep 09 09:36:46 GMT 2024","Mon Sep 09 09:36:54 GMT 2024","8451","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
"passed","Mon Sep 09 09:36:10 GMT 2024","Mon Sep 09 09:36:19 GMT 2024","8694","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","@demo_pom @smoke @regression","","","Test case: Demo POM",""
"passed","Mon Sep 09 09:35:54 GMT 2024","Mon Sep 09 09:36:00 GMT 2024","5924","setup","02-demo-setup-teardown/test/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Mon Sep 09 09:36:01 GMT 2024","Mon Sep 09 09:36:09 GMT 2024","8851","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","@demo_fixture @smoke @regression","","","Test case: Demo fixture",""
"passed","Mon Sep 09 09:36:28 GMT 2024","Mon Sep 09 09:36:37 GMT 2024","9019","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
