"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 18:17:57 GMT 2024","Sun Sep 08 18:18:07 GMT 2024","9255","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","@demo_pom @smoke @regression","","","Test case: Demo POM",""
"passed","Sun Sep 08 18:18:26 GMT 2024","Sun Sep 08 18:18:35 GMT 2024","9248","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
"passed","Sun Sep 08 18:17:39 GMT 2024","Sun Sep 08 18:17:47 GMT 2024","7503","setup","02-demo-setup-teardown/test/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Sun Sep 08 18:18:17 GMT 2024","Sun Sep 08 18:18:26 GMT 2024","9266","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
"passed","Sun Sep 08 18:18:07 GMT 2024","Sun Sep 08 18:18:16 GMT 2024","9303","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Sun Sep 08 18:17:48 GMT 2024","Sun Sep 08 18:17:57 GMT 2024","9489","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","@demo_fixture @smoke @regression","","","Test case: Demo fixture",""
"passed","Sun Sep 08 18:18:46 GMT 2024","Sun Sep 08 18:18:46 GMT 2024","6","teardown","02-demo-setup-teardown/test/dependencies-teardown.ts","","","","Clean up",""
"passed","Sun Sep 08 18:18:36 GMT 2024","Sun Sep 08 18:18:45 GMT 2024","9219","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
