"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 11:01:07 GMT 2024","Sun Sep 08 11:01:17 GMT 2024","9264","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Sun Sep 08 11:01:44 GMT 2024","Sun Sep 08 11:01:44 GMT 2024","84","teardown","03-demo-pom-fixture/dependencies-teardown.ts","","","","Clean up",""
"passed","Sun Sep 08 11:01:17 GMT 2024","Sun Sep 08 11:01:26 GMT 2024","8747","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
"passed","Sun Sep 08 11:01:35 GMT 2024","Sun Sep 08 11:01:43 GMT 2024","8196","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
"passed","Sun Sep 08 11:01:26 GMT 2024","Sun Sep 08 11:01:35 GMT 2024","8962","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
"passed","Sun Sep 08 11:00:44 GMT 2024","Sun Sep 08 11:00:50 GMT 2024","5750","setup","03-demo-pom-fixture/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Sun Sep 08 11:00:59 GMT 2024","Sun Sep 08 11:01:07 GMT 2024","8201","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","@demo_pom @smoke @regression","","","Test case: Demo POM",""
"passed","Sun Sep 08 11:00:50 GMT 2024","Sun Sep 08 11:00:58 GMT 2024","8346","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","@demo_fixture @smoke @regression","","","Test case: Demo fixture",""
